tamanho: 238, palavras: 46
tamanho: 278, palavras: 47
tamanho: 269, palavras: 44
tamanho: 51, palavras: 12
tamanho: 134, palavras: 22
tamanho: 241, palavras: 39
tamanho: 280, palavras: 49
tamanho: 43, palavras: 5
tamanho: 224, palavras: 34
tamanho: 55, palavras: 7
tamanho: 275, palavras: 44
tamanho: 181, palavras: 28
tamanho: 89, palavras: 13
tamanho: 303, palavras: 53
tamanho: 56, palavras: 13
tamanho: 99, palavras: 13
tamanho: 292, palavras: 43
tamanho: 66, palavras: 11
tamanho: 71, palavras: 11
tamanho: 298, palavras: 34
tamanho: 45, palavras: 4
tamanho: 240, palavras: 40
tamanho: 47, palavras: 7
tamanho: 271, palavras: 47
tamanho: 65, palavras: 9
tamanho: 78, palavras: 13
tamanho: 312, palavras: 41
tamanho: 255, palavras: 47
tamanho: 61, palavras: 9
tamanho: 297, palavras: 40
tamanho: 90, palavras: 14
tamanho: 125, palavras: 19
tamanho: 122, palavras: 20
tamanho: 308, palavras: 59
tamanho: 129, palavras: 23
tamanho: 62, palavras: 11
tamanho: 44, palavras: 8
tamanho: 289, palavras: 47
tamanho: 78, palavras: 10
tamanho: 137, palavras: 21
tamanho: 230, palavras: 46
tamanho: 80, palavras: 13
tamanho: 308, palavras: 50
tamanho: 57, palavras: 10
tamanho: 81, palavras: 13
tamanho: 193, palavras: 29
tamanho: 81, palavras: 13
tamanho: 168, palavras: 24
tamanho: 81, palavras: 13
tamanho: 118, palavras: 19
tamanho: 242, palavras: 46
tamanho: 200, palavras: 40
tamanho: 192, palavras: 32
tamanho: 292, palavras: 51
tamanho: 20, palavras: 5
tamanho: 229, palavras: 31
